y_true,y_prob,cum_profit,population_pct,risk_segment,risk_segment_dyn,transaction_profit
1,1.0,100,0.005,High Risk,High Risk,100
1,1.0,200,0.01,High Risk,High Risk,100
1,1.0,300,0.015,High Risk,High Risk,100
1,1.0,400,0.02,High Risk,High Risk,100
1,1.0,500,0.025,High Risk,High Risk,100
1,0.9999999,600,0.03,High Risk,High Risk,100
1,0.9999999,700,0.034999999999999996,High Risk,High Risk,100
1,0.9999999,800,0.04,High Risk,High Risk,100
1,0.9999999,900,0.045,High Risk,High Risk,100
1,0.9999999,1000,0.05,High Risk,High Risk,100
1,0.9999999,1100,0.055,High Risk,High Risk,100
1,0.99999976,1200,0.06,High Risk,High Risk,100
1,0.99999976,1300,0.065,High Risk,High Risk,100
1,0.99999964,1400,0.06999999999999999,High Risk,High Risk,100
1,0.99999964,1500,0.075,High Risk,High Risk,100
1,0.99999964,1600,0.08,High Risk,High Risk,100
1,0.99999964,1700,0.08499999999999999,High Risk,High Risk,100
1,0.99999964,1800,0.09,High Risk,High Risk,100
1,0.99999964,1900,0.095,High Risk,High Risk,100
1,0.9999995,2000,0.1,High Risk,High Risk,100
1,0.9999994,2100,0.105,High Risk,High Risk,100
1,0.9999994,2200,0.11,High Risk,High Risk,100
1,0.9999993,2300,0.11499999999999999,High Risk,High Risk,100
1,0.9999993,2400,0.12,High Risk,High Risk,100
1,0.9999993,2500,0.125,High Risk,High Risk,100
1,0.9999993,2600,0.13,High Risk,High Risk,100
1,0.9999993,2700,0.135,High Risk,High Risk,100
1,0.99999917,2800,0.13999999999999999,High Risk,High Risk,100
1,0.99999905,2900,0.145,High Risk,High Risk,100
1,0.9999989,3000,0.15,High Risk,High Risk,100
1,0.9999988,3100,0.155,High Risk,High Risk,100
1,0.9999987,3200,0.16,High Risk,High Risk,100
1,0.9999987,3300,0.165,High Risk,High Risk,100
1,0.9999987,3400,0.16999999999999998,High Risk,High Risk,100
1,0.9999987,3500,0.17500000000000002,High Risk,High Risk,100
1,0.99999857,3600,0.18,High Risk,High Risk,100
1,0.99999845,3700,0.185,High Risk,High Risk,100
1,0.99999845,3800,0.19,High Risk,High Risk,100
1,0.99999845,3900,0.19499999999999998,High Risk,High Risk,100
1,0.99999845,4000,0.2,High Risk,High Risk,100
1,0.99999833,4100,0.20500000000000002,High Risk,High Risk,100
1,0.99999833,4200,0.21,High Risk,High Risk,100
1,0.99999833,4300,0.215,High Risk,High Risk,100
1,0.9999982,4400,0.22,High Risk,High Risk,100
1,0.9999981,4500,0.22499999999999998,High Risk,High Risk,100
1,0.9999981,4600,0.22999999999999998,High Risk,High Risk,100
1,0.9999981,4700,0.23500000000000001,High Risk,High Risk,100
1,0.999998,4800,0.24,High Risk,High Risk,100
1,0.999998,4900,0.245,High Risk,High Risk,100
1,0.999998,5000,0.25,High Risk,High Risk,100
1,0.99999785,5100,0.255,High Risk,High Risk,100
1,0.99999774,5200,0.26,High Risk,High Risk,100
1,0.99999774,5300,0.265,High Risk,High Risk,100
1,0.99999774,5400,0.27,High Risk,High Risk,100
1,0.9999976,5500,0.27499999999999997,High Risk,High Risk,100
1,0.9999976,5600,0.27999999999999997,High Risk,High Risk,100
1,0.9999976,5700,0.28500000000000003,High Risk,High Risk,100
1,0.9999975,5800,0.29,High Risk,High Risk,100
1,0.9999974,5900,0.295,High Risk,High Risk,100
1,0.9999974,6000,0.3,High Risk,High Risk,100
1,0.9999974,6100,0.305,High Risk,High Risk,100
1,0.99999726,6200,0.31,High Risk,High Risk,100
1,0.99999726,6300,0.315,High Risk,High Risk,100
1,0.99999714,6400,0.32,High Risk,High Risk,100
1,0.999997,6500,0.325,High Risk,High Risk,100
1,0.9999968,6600,0.33,High Risk,High Risk,100
1,0.9999968,6700,0.335,High Risk,High Risk,100
1,0.99999666,6800,0.33999999999999997,High Risk,High Risk,100
1,0.99999654,6900,0.345,High Risk,High Risk,100
1,0.99999654,7000,0.35000000000000003,High Risk,High Risk,100
1,0.9999963,7100,0.35500000000000004,High Risk,High Risk,100
1,0.9999962,7200,0.36,High Risk,High Risk,100
1,0.9999962,7300,0.365,High Risk,High Risk,100
1,0.9999962,7400,0.37,High Risk,High Risk,100
1,0.9999962,7500,0.375,High Risk,High Risk,100
1,0.9999958,7600,0.38,High Risk,High Risk,100
1,0.9999957,7700,0.385,High Risk,High Risk,100
1,0.9999957,7800,0.38999999999999996,High Risk,High Risk,100
1,0.9999956,7900,0.395,High Risk,High Risk,100
1,0.99999547,8000,0.4,High Risk,High Risk,100
1,0.99999535,8100,0.40499999999999997,High Risk,High Risk,100
1,0.99999523,8200,0.41000000000000003,High Risk,High Risk,100
1,0.999995,8300,0.415,High Risk,High Risk,100
1,0.9999949,8400,0.42,High Risk,High Risk,100
1,0.99999475,8500,0.42500000000000004,High Risk,High Risk,100
1,0.99999475,8600,0.43,High Risk,High Risk,100
1,0.9999945,8700,0.43499999999999994,High Risk,High Risk,100
1,0.9999944,8800,0.44,High Risk,High Risk,100
1,0.99999416,8900,0.445,High Risk,High Risk,100
1,0.99999416,9000,0.44999999999999996,High Risk,High Risk,100
1,0.99999404,9100,0.455,High Risk,High Risk,100
1,0.99999404,9200,0.45999999999999996,High Risk,High Risk,100
1,0.9999938,9300,0.46499999999999997,High Risk,High Risk,100
1,0.9999938,9400,0.47000000000000003,High Risk,High Risk,100
1,0.9999938,9500,0.475,High Risk,High Risk,100
1,0.9999937,9600,0.48,High Risk,High Risk,100
1,0.9999937,9700,0.485,High Risk,High Risk,100
1,0.99999356,9800,0.49,High Risk,High Risk,100
1,0.9999932,9900,0.49500000000000005,High Risk,High Risk,100
1,0.9999932,10000,0.5,High Risk,High Risk,100
1,0.9999931,10100,0.505,High Risk,High Risk,100
1,0.99999297,10200,0.51,High Risk,High Risk,100
1,0.99999297,10300,0.515,High Risk,High Risk,100
1,0.9999926,10400,0.52,High Risk,High Risk,100
1,0.9999924,10500,0.525,High Risk,High Risk,100
1,0.99999225,10600,0.53,High Risk,High Risk,100
1,0.99999213,10700,0.5349999999999999,High Risk,High Risk,100
1,0.99999166,10800,0.54,High Risk,High Risk,100
1,0.99999154,10900,0.545,High Risk,High Risk,100
1,0.99999154,11000,0.5499999999999999,High Risk,High Risk,100
1,0.99999106,11100,0.555,High Risk,High Risk,100
1,0.99999094,11200,0.5599999999999999,High Risk,High Risk,100
1,0.99999094,11300,0.565,High Risk,High Risk,100
1,0.99999094,11400,0.5700000000000001,High Risk,High Risk,100
1,0.9999906,11500,0.575,High Risk,High Risk,100
1,0.99999046,11600,0.58,High Risk,High Risk,100
1,0.9999902,11700,0.585,High Risk,High Risk,100
1,0.9999902,11800,0.59,High Risk,High Risk,100
1,0.99999,11900,0.5950000000000001,High Risk,High Risk,100
1,0.99998987,12000,0.6,High Risk,High Risk,100
1,0.9999896,12100,0.605,High Risk,High Risk,100
1,0.9999895,12200,0.61,High Risk,High Risk,100
1,0.9999894,12300,0.615,High Risk,High Risk,100
1,0.9999894,12400,0.62,High Risk,High Risk,100
1,0.99998915,12500,0.625,High Risk,High Risk,100
1,0.99998903,12600,0.63,High Risk,High Risk,100
1,0.9999888,12700,0.635,High Risk,High Risk,100
1,0.9999887,12800,0.64,High Risk,High Risk,100
1,0.99998856,12900,0.645,High Risk,High Risk,100
1,0.99998844,13000,0.65,High Risk,High Risk,100
1,0.99998796,13100,0.655,High Risk,High Risk,100
1,0.99998784,13200,0.66,High Risk,High Risk,100
1,0.99998784,13300,0.6649999999999999,High Risk,High Risk,100
1,0.9999869,13400,0.67,High Risk,High Risk,100
1,0.9999869,13500,0.675,High Risk,High Risk,100
1,0.9999869,13600,0.6799999999999999,High Risk,High Risk,100
1,0.99998677,13700,0.685,High Risk,High Risk,100
1,0.9999864,13800,0.69,High Risk,High Risk,100
1,0.9999864,13900,0.695,High Risk,High Risk,100
1,0.9999856,14000,0.7000000000000001,High Risk,High Risk,100
1,0.99998534,14100,0.705,High Risk,High Risk,100
1,0.99998534,14200,0.7100000000000001,High Risk,High Risk,100
1,0.9999852,14300,0.715,High Risk,High Risk,100
1,0.999985,14400,0.72,High Risk,High Risk,100
1,0.99998486,14500,0.7250000000000001,High Risk,High Risk,100
1,0.99998474,14600,0.73,High Risk,High Risk,100
1,0.9999845,14700,0.735,High Risk,High Risk,100
1,0.9999844,14800,0.74,High Risk,High Risk,100
1,0.9999839,14900,0.745,High Risk,High Risk,100
1,0.9999833,15000,0.75,High Risk,High Risk,100
1,0.99998283,15100,0.755,High Risk,High Risk,100
1,0.9999826,15200,0.76,High Risk,High Risk,100
1,0.9999826,15300,0.765,High Risk,High Risk,100
1,0.9999825,15400,0.77,High Risk,High Risk,100
1,0.99998236,15500,0.775,High Risk,High Risk,100
1,0.99998224,15600,0.7799999999999999,High Risk,High Risk,100
1,0.99998224,15700,0.7849999999999999,High Risk,High Risk,100
1,0.9999821,15800,0.79,High Risk,High Risk,100
1,0.999982,15900,0.795,High Risk,High Risk,100
1,0.999982,16000,0.8,High Risk,High Risk,100
1,0.9999819,16100,0.8049999999999999,High Risk,High Risk,100
1,0.99998176,16200,0.8099999999999999,High Risk,High Risk,100
1,0.99998164,16300,0.815,High Risk,High Risk,100
1,0.9999815,16400,0.8200000000000001,High Risk,High Risk,100
1,0.9999814,16500,0.8250000000000001,High Risk,High Risk,100
1,0.9999814,16600,0.83,High Risk,High Risk,100
1,0.9999809,16700,0.835,High Risk,High Risk,100
1,0.99998057,16800,0.84,High Risk,High Risk,100
1,0.99998045,16900,0.845,High Risk,High Risk,100
1,0.99998045,17000,0.8500000000000001,High Risk,High Risk,100
1,0.9999801,17100,0.855,High Risk,High Risk,100
1,0.99998,17200,0.86,High Risk,High Risk,100
1,0.99998,17300,0.865,High Risk,High Risk,100
1,0.99997973,17400,0.8699999999999999,High Risk,High Risk,100
1,0.9999796,17500,0.8750000000000001,High Risk,High Risk,100
1,0.9999796,17600,0.88,High Risk,High Risk,100
1,0.9999796,17700,0.885,High Risk,High Risk,100
1,0.99997926,17800,0.89,High Risk,High Risk,100
1,0.9999788,17900,0.895,High Risk,High Risk,100
1,0.99997854,18000,0.8999999999999999,High Risk,High Risk,100
1,0.9999782,18100,0.905,High Risk,High Risk,100
1,0.99997807,18200,0.91,High Risk,High Risk,100
1,0.9999776,18300,0.915,High Risk,High Risk,100
1,0.99997747,18400,0.9199999999999999,High Risk,High Risk,100
1,0.99997663,18500,0.9249999999999999,High Risk,High Risk,100
1,0.9999765,18600,0.9299999999999999,High Risk,High Risk,100
1,0.99997616,18700,0.935,High Risk,High Risk,100
1,0.9999759,18800,0.9400000000000001,High Risk,High Risk,100
1,0.99997556,18900,0.9450000000000001,High Risk,High Risk,100
1,0.99997556,19000,0.95,High Risk,High Risk,100
1,0.9999752,19100,0.955,High Risk,High Risk,100
1,0.99997365,19200,0.96,High Risk,High Risk,100
1,0.99997354,19300,0.9650000000000001,High Risk,High Risk,100
1,0.99997354,19400,0.97,High Risk,High Risk,100
1,0.9999734,19500,0.975,High Risk,High Risk,100
1,0.9999733,19600,0.98,High Risk,High Risk,100
1,0.99997306,19700,0.985,High Risk,High Risk,100
1,0.99997246,19800,0.9900000000000001,High Risk,High Risk,100
1,0.9999721,19900,0.9950000000000001,High Risk,High Risk,100
1,0.9999721,20000,1.0,High Risk,High Risk,100
1,0.999972,20100,1.005,High Risk,High Risk,100
1,0.999972,20200,1.01,High Risk,High Risk,100
1,0.99997175,20300,1.015,High Risk,High Risk,100
1,0.99997175,20400,1.02,High Risk,High Risk,100
1,0.9999715,20500,1.0250000000000001,High Risk,High Risk,100
1,0.99997056,20600,1.03,High Risk,High Risk,100
1,0.99997044,20700,1.035,High Risk,High Risk,100
1,0.99996936,20800,1.04,High Risk,High Risk,100
1,0.99996865,20900,1.045,High Risk,High Risk,100
1,0.9999677,21000,1.05,High Risk,High Risk,100
1,0.99996734,21100,1.055,High Risk,High Risk,100
1,0.9999672,21200,1.06,High Risk,High Risk,100
1,0.99996674,21300,1.065,High Risk,High Risk,100
1,0.9999666,21400,1.0699999999999998,High Risk,High Risk,100
1,0.9999665,21500,1.075,High Risk,High Risk,100
1,0.9999659,21600,1.08,High Risk,High Risk,100
1,0.9999653,21700,1.085,High Risk,High Risk,100
1,0.99996483,21800,1.09,High Risk,High Risk,100
1,0.9999647,21900,1.095,High Risk,High Risk,100
1,0.9999647,22000,1.0999999999999999,High Risk,High Risk,100
1,0.9999647,22100,1.105,High Risk,High Risk,100
1,0.9999645,22200,1.11,High Risk,High Risk,100
1,0.99996364,22300,1.115,High Risk,High Risk,100
1,0.9999622,22400,1.1199999999999999,High Risk,High Risk,100
1,0.99996185,22500,1.125,High Risk,High Risk,100
1,0.9999616,22600,1.13,High Risk,High Risk,100
1,0.9999596,22700,1.135,High Risk,High Risk,100
1,0.99995947,22800,1.1400000000000001,High Risk,High Risk,100
1,0.99995816,22900,1.145,High Risk,High Risk,100
1,0.9999572,23000,1.15,High Risk,High Risk,100
1,0.99995685,23100,1.155,High Risk,High Risk,100
1,0.99995685,23200,1.16,High Risk,High Risk,100
1,0.9999559,23300,1.165,High Risk,High Risk,100
1,0.9999553,23400,1.17,High Risk,High Risk,100
1,0.9999553,23500,1.175,High Risk,High Risk,100
1,0.99995494,23600,1.18,High Risk,High Risk,100
1,0.99995434,23700,1.185,High Risk,High Risk,100
1,0.9999542,23800,1.1900000000000002,High Risk,High Risk,100
1,0.999954,23900,1.195,High Risk,High Risk,100
1,0.9999534,24000,1.2,High Risk,High Risk,100
1,0.9999529,24100,1.205,High Risk,High Risk,100
1,0.99995136,24200,1.21,High Risk,High Risk,100
1,0.99995065,24300,1.2149999999999999,High Risk,High Risk,100
1,0.9999497,24400,1.22,High Risk,High Risk,100
1,0.9999484,24500,1.225,High Risk,High Risk,100
1,0.99994683,24600,1.23,High Risk,High Risk,100
1,0.99994624,24700,1.2349999999999999,High Risk,High Risk,100
1,0.99994457,24800,1.24,High Risk,High Risk,100
1,0.9999435,24900,1.2449999999999999,High Risk,High Risk,100
1,0.99994206,25000,1.25,High Risk,High Risk,100
1,0.9999411,25100,1.2550000000000001,High Risk,High Risk,100
1,0.9999403,25200,1.26,High Risk,High Risk,100
1,0.99994016,25300,1.265,High Risk,High Risk,100
1,0.99993956,25400,1.27,High Risk,High Risk,100
1,0.999938,25500,1.275,High Risk,High Risk,100
1,0.9999372,25600,1.28,High Risk,High Risk,100
1,0.9999372,25700,1.2850000000000001,High Risk,High Risk,100
1,0.9999367,25800,1.29,High Risk,High Risk,100
1,0.9999366,25900,1.295,High Risk,High Risk,100
1,0.9999362,26000,1.3,High Risk,High Risk,100
1,0.99993587,26100,1.3050000000000002,High Risk,High Risk,100
1,0.9999355,26200,1.31,High Risk,High Risk,100
1,0.99993515,26300,1.315,High Risk,High Risk,100
1,0.9999342,26400,1.32,High Risk,High Risk,100
1,0.9999341,26500,1.325,High Risk,High Risk,100
1,0.9999331,26600,1.3299999999999998,High Risk,High Risk,100
1,0.99993265,26700,1.335,High Risk,High Risk,100
1,0.99993193,26800,1.34,High Risk,High Risk,100
1,0.99993086,26900,1.345,High Risk,High Risk,100
1,0.99993074,27000,1.35,High Risk,High Risk,100
1,0.99992967,27100,1.355,High Risk,High Risk,100
1,0.99992824,27200,1.3599999999999999,High Risk,High Risk,100
1,0.99992824,27300,1.365,High Risk,High Risk,100
1,0.9999275,27400,1.37,High Risk,High Risk,100
1,0.99992657,27500,1.375,High Risk,High Risk,100
1,0.99992645,27600,1.38,High Risk,High Risk,100
1,0.9999263,27700,1.385,High Risk,High Risk,100
1,0.9999261,27800,1.39,High Risk,High Risk,100
1,0.999926,27900,1.395,High Risk,High Risk,100
1,0.999926,28000,1.4000000000000001,High Risk,High Risk,100
1,0.9999249,28100,1.405,High Risk,High Risk,100
1,0.9999238,28200,1.41,High Risk,High Risk,100
1,0.999923,28300,1.415,High Risk,High Risk,100
